nl_query,sql_query,scenario,difficulty,source,schema_tables,schema_columns
What are the names of people who are not from Russia?,SELECT Name FROM people WHERE Nationality != 'Russia',filters,easy,spider,poker_player|people,Poker_Player_ID|People_ID|Final_Table_Made|Best_Finish|Money_Rank|Earnings|People_ID|Nationality|Name|Birth_Date|Height
What are the details for all projects that did not hire any staff in a research role?,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' ),filters,easy,spider,Document_Types|Documents|Grants|Organisation_Types|Organisations|Project_Outcomes|Project_Staff|Projects|Research_Outcomes|Research_Staff|Staff_Roles|Tasks,document_type_code|document_description|document_id|document_type_code|grant_id|sent_date|response_received_date|other_details|grant_id|organisation_id|grant_amount|grant_start_date|grant_end_date|other_details|organisation_type|organisation_type_description|organisation_id|organisation_type|organisation_details|project_id|outcome_code|outcome_details|staff_id|project_id|role_code|date_from|date_to|other_details|project_id|organisation_id|project_details|outcome_code|outcome_description|staff_id|employer_organisation_id|staff_details|role_code|role_description|task_id|project_id|task_details|eg Agree Objectives
Return the elimination movies of wrestlers on Team Orton.,SELECT Elimination_Move FROM Elimination WHERE Team = 'Team Orton',filters,easy,spider,wrestler|Elimination,Wrestler_ID|Name|Reign|Days_held|Location|Event|Elimination_ID|Wrestler_ID|Team|Eliminated_By|Elimination_Move|Time
What are the headquarters that have both a company in the banking and 'oil and gas' industries?,SELECT headquarters FROM company WHERE main_industry = 'Banking' INTERSECT SELECT headquarters FROM company WHERE main_industry = 'Oil AND gas',filters,hard,spider,company|gas_station|station_company,Company_ID|Rank|Company|Headquarters|Main_Industry|Sales_billion|Profits_billion|Assets_billion|Market_Value|Station_ID|Open_Year|Location|Manager_Name|Vice_Manager_Name|Representative_Name|Station_ID|Company_ID|Rank_of_the_Year
Which Annual change has a Capacity in use of 66.21%?,SELECT Annual change FROM TABLE WHERE Capacity IN use = 66.21%,filters,easy,wikisql,table,Rank|Location|Total Passengers|Annual change|Capacity|Capacity in use
Name the segment b for 226 episode,SELECT Segment B FROM TABLE WHERE Episode = 226,filters,easy,wikisql,table,Series Ep.|Episode|Segment A|Segment B|Segment C|Segment D
In which province is the 3rd largest Dehbarez?,SELECT Province FROM TABLE WHERE 3rd Largest = dehbarez,filters,easy,wikisql,table,Province|Largest city|2nd Largest|3rd Largest|4th largest
How many seats does the party of others have with a change of -1 and more than 0% votes?,SELECT SUM Seats FROM TABLE WHERE Change = -1 AND Party = others AND % votes > 0,filters,easy,wikisql,table,Party|% votes|% change|Seats|Change
What is the sum of the golds of the nation with 5 total and less than 0 bronze medals?,SELECT SUM Gold FROM TABLE WHERE Total = 5 AND Bronze < 0,filters,easy,wikisql,table,Rank|Nation|Gold|Silver|Bronze|Total
Which Throws have a Position of 3b/rhp?,SELECT Throws FROM TABLE WHERE Position = 3b/rhp,filters,easy,wikisql,table,Surname|First|D.O.B.|Bats|Throws|Position
